Sequence Name,mcg,gvh,lip,chg,aac,alm1,alm2,class
XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
DDLA_ECOLI,0.43,0.39,0.48,0.5,0.47,0.31,0.41,cp
ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
CAFA_ECOLI,0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp
ARAF_ECOLI,0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,cp
PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp
GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,cp
MCP3_ECOLI,0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
AMY2_ECOLI,0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp
MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
CHEZ_ECOLI,0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp
PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
NLPB_ECOLI,0.66,0.49,1.0,0.5,0.54,0.56,0.36,omL
PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp
PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
ACEK_ECOLI,0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,cp
OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
FES_ECOLI,0.32,0.42,0.48,0.5,0.35,0.28,0.38,cp
SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
TOLA_ECOLI,0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
PAL_ECOLI,0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
G3P2_ECOLI,0.33,0.45,0.48,0.5,0.52,0.32,0.41,cp
PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42,cp
G6PI_ECOLI,0.3,0.37,0.48,0.5,0.59,0.41,0.49,cp
ACKA_ECOLI,0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp
USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,cp
SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
SYV_ECOLI,0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
NLPA_ECOLI,0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
CHEB_ECOLI,0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
G3P1_ECOLI,0.38,0.46,0.48,0.5,0.48,0.22,0.29,cp
BTUR_ECOLI,0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp
LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42,cp
ACEA_ECOLI,0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp
ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59,cp
CFA_ECOLI,0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp
RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
CHEA_ECOLI,0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp
PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,cp
ENO_ECOLI,0.29,0.52,0.48,0.5,0.42,0.29,0.39,cp
SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,cp
BTUB_ECOLI,0.56,0.68,0.48,0.5,0.77,0.36,0.45,om
PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
FHUE_ECOLI,0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
CYNR_ECOLI,0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
CYSB_ECOLI,0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2,om
EFTU_ECOLI,0.36,0.54,0.48,0.5,0.41,0.38,0.46,cp
FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,cp
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,cp
SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
CRL_ECOLI,0.4,0.45,0.48,0.5,0.38,0.22,0.0,cp
CYPB_ECOLI,0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp
SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
SYS_ECOLI,0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
AAT_ECOLI,0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp
CYSE_ECOLI,0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
NLPE_ECOLI,0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL
CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,cp
AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
CHEW_ECOLI,0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,cp
GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,cp
EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,cp
FTSN_ECOLI,0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
CYPC_ECOLI,0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp
DGAL_ECOLI,0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
DCP_ECOLI,0.43,0.37,0.48,0.5,0.53,0.35,0.44,cp
CAIB_ECOLI,0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp
RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
ASG1_ECOLI,0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
CHEY_ECOLI,0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp
